Account ID,Account Name,Total Calls,Last Call Date,Calls - Nick Martino,Calls - Ryan Minter,Calls - Alicia Gopal,Calls - Emily Murnane,Calls - Ali Cohen,Calls - Ben Laddis,Calls - Sydney Ireland,Calls - Catherine Silvestri,Calls - Jenny Allison,Calls - Lucy Nemerov,Calls - Leila Assil,Calls - Joe del Rosario,Calls - Quinzel Perry,Calls - Hugh Bargeron,Calls - Andy Blakely,Calls - Blake Anderson,Calls - Mihir Shah,Calls - Maia Golub,Calls - Shane Lieberman,Calls - Granger West
001cv00000AuZY3,"County Of Trimble, KY",47,2026-01-28,,,,,,,47,,,,,,,,,,,,,
001Hr000028ZcNA,"Summit County, CO",46,2026-06-01,,,,,,,,13,19,,14,,,,,,,,,
001Hr000028ZcN3,"City Of Redwood, CA",46,2026-05-14,,4,,,3,,,39,,,,,,,,,,,,
001Hr000028Zcaz,"City Of Asheville, NC",46,2026-01-23,46,,,,,,,,,,,,,,,,,,,
001Hr000028Zcnm,"Walworth County, WI",45,2026-01-05,18,,,,,,,,,,27,,,,,,,,,
001Hr000028ZcY5,"City Of Redlands, CA",45,2026-05-21,,13,8,,,,,24,,,,,,,,,,,,
001cv00000AuZoh,"County Of Nottoway, VA",45,2026-04-28,,,,,44,,,,,,,,1,,,,,,,
001Hr000028Zcx1,"City Of Picayune, MS",45,2026-06-02,,25,,,,,20,,,,,,,,,,,,,
001Hr000028ZboO,"City Of Donna, TX",45,2026-04-29,,,,23,,,,,,22,,,,,,,,,,
001Hr000028ZdBw,"City Of Martinez, CA",45,2026-06-04,,,,,16,,,,,29,,,,,,,,,,
001Hr000028ZcYV,City of Menifee,45,2026-02-19,,,,,45,,,,,,,,,,,,,,,
001cv00000AuZ07,"City Of Mabank, TX",44,2025-10-28,,,,,,,,,,,,,,,44,,,,,
001Hr000028ZdPH,"City Of Bloomington, IN",44,2026-02-18,,,,,,,39,,,,,,5,,,,,,,
001cv00000Aua6G,"County Of Taos, NM",44,2026-06-01,,,38,,,,,,,,,6,,,,,,,,
001Hr000028ZcwC,"City Of Franklin, KY",44,2026-05-11,,35,,,,,9,,,,,,,,,,,,,
001Hr000028Zd3M,"City Of Waupaca, WI",44,2026-05-06,41,,,,,,,,3,,,,,,,,,,,
001Hr000028ZcN6,"City Of Colton, CA",43,2026-06-03,,11,32,,,,,,,,,,,,,,,,,
001Hr000028Zdai,"City Of Hamilton, OH",43,2026-04-27,,,,19,,,,,,,24,,,,,,,,,
001Hr000028ZbsE,"City Of Oakland Park, FL",43,2026-02-03,,10,,,,,,,,,,33,,,,,,,,
001Hr000028ZdnB,"Sumner County, TN",43,2026-04-02,,,,,,,27,,12,,4,,,,,,,,,
001Hr000028ZctN,"City Of Ladue, MO",43,2026-03-13,,,,,,33,,,,,,10,,,,,,,,
001Hr000028ZbyD,"City Of Midlothian, TX",43,2026-05-04,,,16,,,,,,,27,,,,,,,,,,
001cv00000YokQh,"County of Jefferson, CO",43,2026-04-20,43,,,,,,,,,,,,,,,,,,,
001cv00000AuYus,"Town Of Portola Valley, CA",42,2026-01-21,,,,,22,,,,,,7,,,,13,,,,,
001Hr000028ZcY7,"City Of Mayfield, KY",42,2026-03-19,,10,,,,,,,,,,,,,32,,,,,
001Hr000028ZcE5,"City Of Perry, GA",42,2026-05-22,,,,,,,,,4,,,20,,18,,,,,,
001cv00000B222I,"City Of Raeford, NC",42,2026-06-04,18,,,,,,,,,,,,,,24,,,,,
001Hr000028ZdZQ,"City Of Elyria, OH",42,2026-06-04,,,,28,,,,,,,,,,,,,14,,,
001Hr000028ZdCF,"City Of Corcoran, CA",42,2025-12-11,,,,,42,,,,,,,,,,,,,,,
001Hr000028ZdfI,"City Of Weymouth Town, MA",42,2026-04-23,,,33,,,,,,9,,,,,,,,,,,
001Hr000028ZdHe,"City Of Atwater, CA",42,2026-06-01,,,,,31,,,11,,,,,,,,,,,,
001cv00000AuYy7,"City Of Bloomfield Hills, MI",42,2026-02-25,,,,,42,,,,,,,,,,,,,,,
001Hr000028ZcJZ,"Town Of Gates, NY",42,2026-04-23,,,42,,,,,,,,,,,,,,,,,
001Hr000028Zcrm,"City Of Arden Hills, MN",42,2026-06-03,42,,,,,,,,,,,,,,,,,,,
001Hr000028Zbrt,"Town Of Chili, NY",41,2026-03-04,,,13,,,27,,,,,,,1,,,,,,,
001Hr000028Zc0p,City of Woodland,41,2026-04-03,,25,,,,,,16,,,,,,,,,,,,
001Hr000028Zd2d,"Town Of Norwood, MA",41,2026-06-03,,,31,,,,,,8,,2,,,,,,,,,
001cv00000AuaNH,"City Of Beaumont, CA",41,2026-06-03,,6,15,,,,,18,,,,2,,,,,,,,
001Hr000028Zbvt,"City Of Taylor, TX",41,2026-05-29,,,11,21,,,,,,2,7,,,,,,,,,
001Hr000028ZdQu,"City Of Duncan, OK",41,2026-05-27,,33,,,,,,,,8,,,,,,,,,,
001Hr000028ZdEC,"Town Of Milton, MA",41,2026-05-22,,,24,,,,,,8,,9,,,,,,,,,
001Hr000028ZdG3,"City Of Savage, MN",41,2026-02-02,41,,,,,,,,,,,,,,,,,,,
001Hr000028Zc5Z,"City Of Douglas, AZ",41,2025-11-06,,,,,41,,,,,,,,,,,,,,,
001Hr000028ZdXE,"City Of Kingsport, TN",41,2026-06-01,,,,,,,40,,1,,,,,,,,,,,
001Hr000028Zd6D,"City Of Selma, AL",41,2026-04-20,,,,41,,,,,,,,,,,,,,,,
001cv00000Plm9I,"City of Cambridge, MA",41,2026-04-02,37,,,,,,4,,,,,,,,,,,,,
001cv00000B222Y,"City Of Flora, IL",41,2026-06-03,,,41,,,,,,,,,,,,,,,,,
001Hr000028ZdqK,"Douglas County, GA",40,2026-05-26,,,,,,,,,,,,,22,18,,,,,,
001Hr000028ZcIS,"City Of Coronado, CA",40,2026-05-27,,,16,,,,,22,,,,2,,,,,,,,
001Hr000028Zc2Z,"City Of Bella Vista, AR",40,2026-05-18,,35,,,,,,,,,,,,4,1,,,,,
001Hr000028Zczu,"Village Of Schiller Park, IL",40,2025-08-26,40,,,,,,,,,,,,,,,,,,,
001cv00000AuYfO,"City Of Comanche, TX",40,2026-06-04,,,,,,,,,,39,,,,,1,,,,,
001Hr000028ZcVQ,"City Of Georgetown, SC",40,2026-06-04,,21,,,,,,,,,,5,,14,,,,,,
001cv00000AuZg1,"County Of Bamberg, SC",40,2026-06-01,,,,,,,,,,,,30,,10,,,,,,
001Hr000028ZcnN,"City Of King, CA",40,2026-05-28,,,,,23,,,17,,,,,,,,,,,,
001Hr000028ZcFZ,"City Of Palm Springs, CA",40,2026-01-27,,,,,40,,,,,,,,,,,,,,,
001Hr000028ZdhF,"Scott County, MN",40,2026-06-04,40,,,,,,,,,,,,,,,,,,,
001Hr000028ZcBi,"City Of Peculiar, MO",39,2026-03-05,,,,,,29,,,,,,10,,,,,,,,
001Hr000028Zbo7,"City Of Seguin, TX",39,2026-02-13,,,26,4,,,,,,,9,,,,,,,,,
001Hr000028Zchs,"Village Of Westmont, IL",39,2026-06-04,30,,,,,,,,8,,,,1,,,,,,,
001Hr000028Zdfv,"City Of Gaithersburg, MD",39,2026-02-24,24,,,,15,,,,,,,,,,,,,,,
001Hr000028ZdBh,"City Of White Bear Lake, MN",39,2026-01-20,39,,,,,,,,,,,,,,,,,,,
001Hr000028Zcas,"City Of Fairmont, MN",39,2026-05-08,39,,,,,,,,,,,,,,,,,,,
001Hr000028Zbuu,"City Of Fortuna, CA",39,2026-06-01,,,,,26,,,,,13,,,,,,,,,,
001Hr000028ZcUQ,"City Of Prescott, AZ",39,2026-02-05,,,,,39,,,,,,,,,,,,,,,
001Hr000028ZcYA,"City Of Horizon City, TX",39,2026-02-12,,,31,,,,,,,8,,,,,,,,,,
001Hr000028ZdbF,"City Of Williamsport, PA",39,2026-01-13,,,,,39,,,,,,,,,,,,,,,
001cv00000NVXVd,"Town of Killington, VT",39,2026-05-13,38,,,,,,,,,,,,,,1,,,,,
001Hr000028ZcaB,Napa County,39,2026-01-26,,,,,39,,,,,,,,,,,,,,,
001Hr000028ZcNR,"City Of Mcdonough, GA",39,2026-06-04,,,,,,,,,,,,,,39,,,,,,
001Hr000028ZdvZ,"Town Of Severance, CO",38,2026-05-22,,,,,,,,20,16,,,2,,,,,,,,
001Hr000028Zc3Y,"City Of Lower Burrell, PA",38,2026-05-15,,,,,,,,,12,,15,11,,,,,,,,
001Hr000028ZcZ3,"City Of Laguna Niguel, CA",38,2026-03-02,,17,,,,,,21,,,,,,,,,,,,
001Hr000028ZdEN,"City Of Northport, AL",38,2026-06-01,,22,,13,,,,,,,,,,,,,,3,,
001Hr000028Zdpx,"Tangipahoa Parish, LA",38,2026-02-18,,,,27,,,,,,,11,,,,,,,,,
001Hr000028Zd4d,"City of St. Louis Park, MN",38,2025-10-21,38,,,,,,,,,,,,,,,,,,,
001Hr000028Zci2,"City Of Ansonia, CT",38,2026-04-07,,,32,,,,,,,,6,,,,,,,,,
001Hr000028ZbvX,"Town Of Firestone, CO",38,2025-11-12,,,,,,,,,38,,,,,,,,,,,
001Hr000028ZbmD,"Town Of Windsor, CO",38,2026-05-22,,,,,,,,8,30,,,,,,,,,,,
001cv00000AuZSv,"City Of Hiram, GA",38,2026-06-04,,,,,,,,,,,,,9,29,,,,,,
001cv00000AuYua,"Town Of Pomfret, CT",38,2026-01-05,,,38,,,,,,,,,,,,,,,,,
001Hr000028Zd6t,"City Of Middletown, CT",38,2026-04-06,,,38,,,,,,,,,,,,,,,,,
001Hr000028Zcfi,"Town Of Kennebunk, ME",38,2026-04-14,,,34,,,,,,4,,,,,,,,,,,
001Hr000028ZdbN,"City Of Southfield, MI",38,2026-05-12,38,,,,,,,,,,,,,,,,,,,
001Hr000028ZdFe,"City Of Claremont, CA",38,2026-05-27,,,,,,,,38,,,,,,,,,,,,
001cv00000AuaA0,"County Of Caswell, NC",38,2026-03-09,38,,,,,,,,,,,,,,,,,,,
001Hr000028ZcdT,"City Of Moberly, MO",37,2026-05-26,,,,,,33,,,,,,4,,,,,,,,
001Hr000028Zz2B,"City Of Gatlinburg, TN",37,2026-05-19,,,,,,,9,,,,6,,,,22,,,,,
001Hr000028Zd0A,"City Of Dardenne Prairie, MO",37,2026-04-13,,,,,,36,,,,,,1,,,,,,,,
001Hr000028Zcpq,"City Of Marshall, MO",37,2026-03-20,,,,,,27,,,,,,10,,,,,,,,
001Hr000028Zc41,"City Of Port Lavaca, TX",37,2026-02-24,,14,,,,,,,,,,,,,23,,,,,
001Hr000028Zdj9,"City Of Bloomington, MN",37,2025-09-23,37,,,,,,,,,,,,,,,,,,,
001cv00000AuaTC,"County Of Pittsylvania, VA",37,2026-06-02,,,,,26,,,,,,,,11,,,,,,,
001Hr000028ZdMf,"Town Of Catskill, NY",37,2026-06-01,,,,,,22,,,,,,,15,,,,,,,
001Hr000028ZdAs,"City Of Saco, ME",37,2026-06-03,,,19,,,,,,13,,5,,,,,,,,,
001Hr000028Zd5q,"City Of Farmington, MN",37,2025-12-11,37,,,,,,,,,,,,,,,,,,,
001Hr000028Zdaw,"City Of Yukon, OK",37,2026-06-01,,17,,,,,,,,20,,,,,,,,,,
001Hr000028ZcZn,"Town Of Tarboro, NC",37,2026-01-21,37,,,,,,,,,,,,,,,,,,,
001Hr000028ZdTc,"City Of Ankeny, IA",37,2026-06-01,,,,,,27,,,,,,10,,,,,,,,
001Hr000028Zd0a,"City Of Chowchilla, CA",37,2026-04-22,,,,,37,,,,,,,,,,,,,,,
001cv00000AuaOa,"City Of Dearborn Heights, MI",37,2026-04-22,,,,,37,,,,,,,,,,,,,,,
001Hr000028ZcJk,"Township Of Caln, PA",37,2026-04-22,,,,,37,,,,,,,,,,,,,,,
001Hr000028Zd84,"City Of Sartell, MN",37,2026-04-02,20,,,,,17,,,,,,,,,,,,,,
001Hr000028ZcCG,"Town Of Bluffton, SC",37,2026-05-28,,,,,,,,,,,,,,36,,,,,1,
001Hr000028ZcYP,"City Of San Ramon, CA",36,2026-03-30,,11,,,,,,25,,,,,,,,,,,,
001Hr000028ZcO3,"City Of Ojai, CA",36,2026-02-18,,4,,,,,,6,,,,26,,,,,,,,
001Hr000028ZbyB,"City Of Delano, CA",36,2026-05-11,,16,,,,,,20,,,,,,,,,,,,
001Hr000028ZcxX,"City Of East Ridge, TN",36,2026-03-16,,23,,,,,13,,,,,,,,,,,,,
001Hr000028ZdMw,"City Of Medford, MA",36,2026-04-15,,,16,,,,,,,,20,,,,,,,,,
001Hr000028Zd45,"City of Owatonna, MN",36,2026-06-02,36,,,,,,,,,,,,,,,,,,,
001Hr000028ZbsP,"County of Maverick, TX",36,2026-01-20,,36,,,,,,,,,,,,,,,,,,
001Hr000028ZcbN,"Town Of Carver, MA",36,2026-05-28,,,22,,,,9,,,,5,,,,,,,,,
001Hr000028Zbqh,"City Of Fruita, CO",36,2026-06-01,,,,,,,,13,23,,,,,,,,,,,
001Hr000028ZdiL,"City Of Cuyahoga Falls, OH",36,2026-01-14,,,,36,,,,,,,,,,,,,,,,
001Hr000028ZbpS,"City Of Apache Junction, AZ",36,2026-04-28,,,,,36,,,,,,,,,,,,,,,
001Hr000028Zdga,"City Of Franklin, TN",36,2026-06-03,,,,,,,36,,,,,,,,,,,,,
001Hr000028Zcav,"Town Of Carrboro, NC",36,2026-04-07,36,,,,,,,,,,,,,,,,,,,
001Hr000028ZbxI,"Town Of Hillsborough, NC",36,2026-05-19,36,,,,,,,,,,,,,,,,,,,
001Hr000028ZcQ0,"City Of Melrose, MA",35,2026-05-04,,,27,,,,,,6,,2,,,,,,,,,
001Hr000028ZdWT,"City Of Florissant, MO",35,2026-04-02,,,,,,26,,,,,,8,1,,,,,,,
001Hr000028Zbzh,"City Of West Sacramento, CA",35,2026-02-24,,26,,,,,,9,,,,,,,,,,,,
001Hr000028Zc6v,"City Of Napa, CA",35,2026-04-03,,14,,,,,,21,,,,,,,,,,,,
001Hr000028ZcT7,City of Pittsburg,35,2026-04-09,,10,,,,,,25,,,,,,,,,,,,
001Hr000028ZbvN,"City Of La Porte, TX",35,2026-04-15,,,,8,,,,,,,27,,,,,,,,,
001Hr000028ZcWe,"City Of Marshall, TX",35,2026-05-19,,,,11,,,,,,,23,,,,,1,,,,
001Hr000028Zcw4,"City Of Helena, AL",35,2026-06-04,,,,15,,,,,,,15,,,,5,,,,,
001Hr000028Zc1p,"City Of Live Oak, TX",35,2026-05-06,,,,22,,,,,,13,,,,,,,,,,
001Hr000028ZcXM,"City Of Kilgore, TX",35,2026-05-18,,,,23,,,,,,12,,,,,,,,,,
001Hr000028ZcN0,"City Of Somerton, AZ",35,2026-06-03,,,,,29,,,,,,,,,,6,,,,,
001Hr000028ZdFs,"City Of Maryland Heights, MO",35,2026-06-04,,,,,,31,,,,,,4,,,,,,,,
001Hr000028Zbts,"City Of South Gate, CA",35,2026-06-03,,26,8,,,,,,,,,1,,,,,,,,
001Hr000028ZdDX,"Town Of Windham, CT",35,2026-05-18,,,35,,,,,,,,,,,,,,,,,
001Hr000028ZdNP,"City Of Clinton, OK",35,2026-05-05,,,23,,,,,,,12,,,,,,,,,,
001Hr000028Zd9c,"City Of College Park, MD",35,2026-05-21,,,,,25,,,,,10,,,,,,,,,,
001cv00000Aua5Z,"County Of Transylvania, NC",35,2026-04-08,35,,,,,,,,,,,,,,,,,,,
001Hr000028ZdEG,"City Of Galt, CA",35,2026-05-21,,,,,35,,,,,,,,,,,,,,,
001Hr000028ZcRx,"City Of Canton, GA",35,2026-06-03,,,22,,,,,,,,,,,13,,,,,,
001cv00000Aua9c,"County Of Anson, NC",35,2026-06-03,35,,,,,,,,,,,,,,,,,,,
001Hr000028Zd2W,"Village Of Johnson City, NY",35,2026-03-06,,,,,,35,,,,,,,,,,,,,,
001Hr000028Zchn,"City Of Ogdensburg, NY",35,2026-04-02,,,1,,,34,,,,,,,,,,,,,,
001Hr000028ZcIx,"City Of Lindale, TX",35,2026-05-18,,,,,,,,,,35,,,,,,,,,,
001cv00000bBX1P,"City of Raleigh, NC",35,2026-05-27,35,,,,,,,,,,,,,,,,,,,
001Hr000028Zcdc,"County of La Plata, CO",34,2026-05-26,,,,,,,,31,,,3,,,,,,,,,
001Hr000028ZcGP,"City Of Brentwood, CA",34,2026-05-06,,6,,,,,,28,,,,,,,,,,,,
001Hr000028Zbzu,"City Of Lodi, CA",34,2026-06-03,,21,,,,,,6,,4,,,,,3,,,,,
001Hr000028ZdAd,"City Of Bryant, AR",34,2025-11-18,,34,,,,,,,,,,,,,,,,,,
001cv00000AuWXm,"Town Of South Padre Island, TX",34,2026-06-04,,,,14,,,,,,,16,,,,,4,,,,
001Hr000028ZdeA,"City Of New Britain, CT",34,2025-11-12,,,31,,,,,,,,3,,,,,,,,,
001cv00000B220u,"City Of Randleman, NC",34,2026-01-22,34,,,,,,,,,,,,,,,,,,,
001Hr000028ZcEl,"Village Of Ossining, NY",34,2026-03-11,,,,,,28,,,,,,,6,,,,,,,
001Hr000028Zd7M,"City Of Paducah, KY",34,2026-04-14,,25,,,,,9,,,,,,,,,,,,,
001cv00000AuZgO,"County Of Shoshone, ID",34,2026-02-25,,,,,32,,,,,,,2,,,,,,,,
001cv00000AuWrD,"City Of Pinehurst, TX",34,2026-04-22,,30,,,,,,,,,,,,,4,,,,,
001Hr000028ZcLr,"City Of Benbrook, TX",34,2026-06-02,,,,12,,,,,,21,,,,,1,,,,,
001Hr000028ZdUQ,"City Of Midwest City, OK",34,2026-06-01,,21,,,,,,,,13,,,,,,,,,,
001Hr000028Zc2b,"City Of Ames, IA",34,2026-04-15,,,,16,,16,,,,,,2,,,,,,,,
001Hr000028Zbs0,"City Of Lawrenceville, GA",34,2026-06-04,,,,,,,,,11,,,,,23,,,,,,
001Hr000028ZdEm,"City Of Chelsea, MA",34,2026-06-02,,,26,,,,,,8,,,,,,,,,,,
001Hr000028ZdHu,"City Of Coweta, OK",34,2026-05-19,,,,,,,,,24,10,,,,,,,,,,
001Hr000028Zbxu,"Town Of Oak Island, NC",34,2026-06-03,22,,,,,12,,,,,,,,,,,,,,
001Hr000028Zbp3,"Town Of Bargersville, IN",33,2026-06-03,,,,,,,30,,,,,,3,,,,,,,
001cv00000AuWqw,"City Of Lyford, TX",33,2026-05-26,,,,,,,,,4,28,,,,,1,,,,,
001Hr000028Zbvi,"City Of Hutchins, TX",33,2026-06-02,,,,11,,,,,1,2,19,,,,,,,,,
001cv00000AuZ9y,"Town Of Carolina Shores, NC",33,2026-02-24,33,,,,,,,,,,,,,,,,,,,
001Hr000028Zbv3,"City Of Star, ID",33,2026-05-04,,,,,,,,21,,,,11,,,1,,,,,
001Hr000028Zc8i,"City Of Sumter, SC",33,2026-06-04,,,,,,,,,,,,1,,32,,,,,,
001Hr000028ZdNg,"City Of Des Plaines, IL",33,2026-02-20,33,,,,,,,,,,,,,,,,,,,
001Hr000028ZdfK,"City Of Oshkosh, WI",33,2025-08-27,33,,,,,,,,,,,,,,,,,,,
001Hr000028ZbqN,"City Of Tavares, FL",33,2026-01-28,,17,,,,,,,,,,16,,,,,,,,
001Hr000028Zd7d,"Town Of Jackson, WY",33,2026-06-01,,,,,,,,23,,,,10,,,,,,,,
001Hr000028Zdaq,"City Of Willoughby, OH",33,2026-04-21,,,,33,,,,,,,,,,,,,,,,
001Hr000028Zcz3,"Town Of Wilbraham, MA",33,2026-06-01,,,15,,,,2,,16,,,,,,,,,,,
001Hr000028ZdIi,"City Of Norwich, CT",33,2026-02-26,,,33,,,,,,,,,,,,,,,,,
001Hr000028ZciM,"City Of Healdsburg, CA",33,2026-06-01,,,,,27,,,,,6,,,,,,,,,,
001Hr000028ZdeP,"City Of Waterloo, IA",33,2026-05-20,,,,,,30,,,,,,3,,,,,,,,
001Hr000028Zbx9,"City Of Elko, NV",33,2026-02-02,,,,,33,,,,,,,,,,,,,,,
001Hr000028ZdII,"City Of Dover, NH",33,2026-04-07,,,24,,,,,,9,,,,,,,,,,,
001Hr000028ZdHm,"Town Of New Hartford, NY",33,2026-06-02,,,33,,,,,,,,,,,,,,,,,
001Hr000028ZcCU,"City Of Buford, GA",32,2026-06-04,,,,,,,,,,,,,14,18,,,,,,
001Hr000028ZcYJ,"Paulding County, GA",32,2026-04-20,,,,,,,,,,,,,22,10,,,,,,
001Hr000028Zbrs,"City of Paramount, CA",32,2026-06-04,,8,,,,,2,22,,,,,,,,,,,,
001cv00000AuYq9,"Town Of Franklin, NC",32,2026-01-27,32,,,,,,,,,,,,,,,,,,,
001Hr000028ZcxA,"City Of Farmersville, CA",32,2026-05-12,,16,,,,,,4,,,,12,,,,,,,,
001cv00000AuaKH,"County Of Boyd, KY",32,2026-03-02,,23,,,,,9,,,,,,,,,,,,,
001Hr000028Zdoe,"County Of Colleton, SC",32,2026-05-29,,,,,,,,,,,,23,,9,,,,,,
001Hr000028Zd6S,"City Of Danville, KY",32,2026-05-01,,21,,,,,11,,,,,,,,,,,,,
001Hr000028ZcTu,"City Of Crystal City, TX",32,2025-12-17,,,,32,,,,,,,,,,,,,,,,
001cv00000AuZtZ,"County Of Pitkin, CO",32,2025-11-10,,,,,,,,,32,,,,,,,,,,,
001cv00000AuaKI,"County Of Goodhue, MN",32,2025-12-16,32,,,,,,,,,,,,,,,,,,,
001cv00000AuYPh,"City Of Williams, AZ",32,2025-10-16,,,,,32,,,,,,,,,,,,,,,
001Hr000028Zbol,"City Of Marco Island, FL",32,2026-06-03,,13,,,,,,,,,,10,,,,,,9,,
001Hr000028ZcsH,"City Of Morro Bay, CA",32,2026-06-01,,,,,,,,28,,,,4,,,,,,,,
001Hr000028ZcQm,"Town Of Westbrook, CT",32,2026-03-16,,,10,,,,,,,,,,,,22,,,,,
